Rv	gene	len	strand	H37Rv_1B_1	H37Rv_1B_2	H37Rv_1B_3	H37Rv_2G1B_1	H37Rv_2G1B_2	H37Rv_2G1B_3	H37Rv_4G_1	H37Rv_4G_2	H37Rv_4G_3	H37Rv_HiFe_1	H37Rv_HiFe_2	H37Rv_HiFe_3	H37Rv_LoFe_1D_1	H37Rv_LoFe_1D_2	H37Rv_LoFe_1D_3	H37Rv_LoFe_1W_1	H37Rv_LoFe_1W_2	H37Rv_LoFe_1W_3	H37Rv_TOL_1	H37Rv_TOL_2	H37Rv_TOL_LpH_1	H37Rv_TOL_LpH_2	W_1	W_2	W_3	W_D516V_1	W_D516V_2	W_D516V_3	W_H526D_1	W_H526R_1	W_H526R_2	W_H526R_3	W_S531L_1	W_S531L_2	W_S531L_3
Rv1017c	prsA	981	-	474.3	449.4	447.3	486.4	377.9	337.3	456.6	510.9	404.4	445.7	461.7	413.7	374.4	372.4	317.3	284.2	290.4	330.0	589.1	611.9	662.1	550.3	440.9	427.5	468.9	510.8	495.9	486.8	390.4	613.5	452.0	584.7	462.6	418.4	461.9
Rv1018c	glmU	1488	-	247.7	201.5	225.0	241.8	219.8	203.1	292.9	310.8	259.8	276.4	279.3	283.0	202.9	212.0	192.3	198.4	179.7	214.1	265.9	289.2	259.7	235.0	222.8	230.4	244.9	253.6	271.4	257.6	226.1	288.6	214.8	283.3	254.7	210.9	223.5
Rv1019	-	594	+	123.5	165.3	122.7	87.6	84.8	97.3	74.8	62.0	81.6	85.1	78.5	71.9	91.5	106.8	113.5	213.5	202.9	186.4	94.9	102.2	88.7	58.1	109.5	110.9	126.0	120.1	139.2	130.4	102.9	76.5	99.7	97.8	86.5	108.8	112.5
Rv1020	mfd	3705	+	46.1	43.9	43.0	62.4	67.4	68.4	29.0	29.5	29.5	77.7	82.1	89.0	69.3	60.8	69.4	89.1	89.4	100.3	79.1	79.6	30.4	24.8	77.8	82.1	86.7	65.4	80.2	79.0	97.2	56.8	76.0	62.2	83.9	94.6	77.7
Rv1021	-	978	+	48.5	49.1	42.9	78.0	62.7	76.5	32.0	35.6	32.7	85.5	88.0	68.9	70.9	68.4	64.5	74.4	79.5	77.7	115.3	101.2	38.2	36.7	92.7	85.0	94.3	81.6	82.0	81.4	88.4	83.3	103.3	76.7	78.5	79.2	81.9
Rv1022	lpqU	732	+	36.6	55.2	33.5	47.9	57.6	57.6	25.4	22.6	28.3	61.4	63.5	62.1	42.8	43.6	46.9	47.2	39.8	53.1	79.7	74.0	27.7	30.4	58.4	74.1	66.5	60.0	53.0	50.3	82.1	47.6	69.1	52.8	62.4	66.8	71.1
Rv1023	eno	1290	+	56.1	64.9	63.4	80.1	79.5	65.9	42.5	50.5	43.7	89.9	104.4	97.5	50.5	52.4	54.4	41.0	40.8	44.5	102.8	96.8	39.4	29.1	68.9	76.0	80.4	58.4	64.7	68.0	89.0	68.4	89.2	73.5	76.4	63.5	63.9
Rv1024	-	687	+	95.9	114.0	108.5	144.3	139.9	142.6	82.1	87.1	80.0	168.4	184.9	171.7	130.3	115.0	103.0	77.3	76.1	71.5	175.6	173.2	100.9	66.2	136.3	164.2	137.2	110.5	110.2	103.5	146.0	130.2	137.2	123.5	139.3	122.4	123.2
Rv1025	-	468	+	86.9	86.1	89.2	121.7	122.2	129.4	64.1	68.8	56.5	135.1	157.5	148.1	105.6	73.6	72.6	56.5	58.8	52.0	119.5	125.6	82.2	47.3	85.3	117.9	77.0	62.1	76.9	66.8	111.4	69.2	84.7	69.2	83.7	90.2	85.4
Rv1026	-	960	+	42.8	39.9	29.5	73.0	84.4	82.0	44.3	43.3	38.1	87.8	101.9	123.2	39.6	42.0	49.7	30.1	27.2	25.1	67.7	64.5	20.3	16.6	47.3	61.0	56.6	31.5	35.4	42.3	76.4	39.6	54.9	41.8	51.1	57.9	61.5
Rv1027c	kdpE	681	-	33.0	29.6	32.0	24.4	20.8	21.6	25.6	32.3	36.6	24.2	27.6	30.7	15.3	18.0	12.0	14.1	13.6	14.2	19.9	24.2	77.9	79.4	16.1	20.8	20.6	24.3	16.5	17.4	15.8	24.7	19.4	26.3	17.9	26.8	19.4
Rv1028c	kdpD	2583	-	32.8	31.7	23.6	18.1	16.7	18.0	23.7	25.0	25.5	18.2	22.3	23.7	13.8	11.8	18.1	24.0	19.6	18.9	21.4	24.1	53.4	47.9	17.9	17.0	19.8	18.9	20.6	18.3	21.4	20.5	16.9	17.3	19.9	26.5	20.8
Rv1028A	kdpF	93	+	10.1	14.4	5.0	14.0	7.1	10.2	9.9	3.8	1.2	19.7	14.6	11.6	5.3	0.0	1.5	3.4	4.8	8.4	8.8	14.3	73.6	35.3	9.3	9.3	12.4	5.7	8.5	5.9	7.5	5.6	4.6	8.6	11.9	10.2	4.6
Rv1029	kdpA	1716	+	13.5	13.2	10.1	13.4	11.4	12.8	6.1	6.3	11.7	20.8	25.2	20.1	5.6	4.6	3.9	5.8	5.8	5.0	22.7	25.1	84.5	53.1	14.7	14.2	17.2	10.1	9.0	9.2	10.5	8.4	14.0	11.2	13.3	18.2	14.0
Rv1030	kdpB	2130	+	14.0	14.4	12.9	24.5	23.8	22.1	9.2	8.6	9.3	25.8	29.3	31.6	6.0	9.9	7.0	6.3	6.1	6.7	29.4	27.3	55.6	47.1	18.6	18.3	19.5	14.2	14.8	13.4	17.1	13.5	17.3	15.1	21.0	17.9	19.5
Rv1031	kdpC	570	+	36.6	40.5	31.5	54.0	48.5	54.6	19.1	35.2	26.3	58.9	50.2	55.7	42.4	32.5	24.7	23.5	23.7	23.6	51.3	51.7	89.0	72.6	48.2	44.5	39.1	41.4	36.3	40.6	46.0	35.0	46.9	33.9	46.2	34.0	49.7
Rv1032c	trcS	1530	-	46.1	38.2	46.7	59.9	52.2	38.6	37.3	45.7	30.8	85.7	89.2	97.4	33.0	36.7	30.4	24.3	20.8	15.8	51.8	55.1	36.9	33.3	30.2	29.9	32.2	42.7	39.1	39.1	43.9	55.4	38.7	51.0	32.8	24.6	33.3
Rv1033c	trcR	774	-	137.9	136.2	97.1	123.8	122.6	86.6	77.0	98.2	74.4	194.1	171.5	184.4	36.7	72.3	50.1	39.9	35.2	32.4	69.5	83.2	62.2	52.2	29.7	21.6	25.5	43.3	41.6	43.2	50.3	62.0	28.6	58.3	23.0	29.7	26.5
Rv1034c	-	390	-	2.7	1.1	0.4	1.7	1.1	3.5	2.5	1.6	0.4	3.5	5.5	1.7	0.0	1.7	1.2	0.8	3.8	3.8	4.0	0.4	0.5	2.7	2.8	3.2	1.5	2.5	3.6	3.1	2.8	2.8	1.6	3.1	5.2	4.2	2.9
Rv1035c	-	687	-	13.4	12.3	14.8	14.8	18.4	13.0	20.9	15.7	13.9	19.8	23.3	25.8	6.1	9.1	13.1	7.2	9.6	8.4	16.5	18.2	11.6	13.3	17.1	16.7	15.7	21.2	26.5	24.9	14.0	30.2	25.6	23.4	17.9	21.9	21.1
Rv1036c	-	339	-	34.5	28.0	20.8	34.3	27.3	22.9	30.8	29.6	42.3	31.5	33.0	38.7	24.8	23.6	15.3	8.3	9.8	12.9	45.1	44.8	32.0	33.2	39.5	40.6	31.8	51.2	58.0	61.7	31.9	80.5	53.0	55.1	38.4	28.1	38.4
Rv1037c	esxI	285	-	216.0	114.6	184.7	171.2	152.5	160.2	201.4	221.0	202.4	119.5	115.3	84.4	146.2	199.9	176.5	69.7	64.8	63.3	153.0	137.8	191.1	198.5	53.8	50.6	57.3	78.2	78.8	73.9	59.6	110.5	79.8	94.5	62.7	59.3	59.6
Rv1038c	esxJ	297	-	393.7	216.1	327.2	276.9	238.0	261.8	273.5	323.8	396.5	208.0	184.3	161.7	336.0	439.9	462.5	124.6	129.1	135.7	273.5	252.0	307.1	327.7	101.7	75.9	120.6	123.9	104.8	119.8	81.9	186.2	136.6	194.4	117.8	118.5	125.2
Rv1039c	PPE15	1176	-	8.3	10.7	11.5	2.9	1.6	2.8	3.6	5.7	2.9	3.2	4.8	1.6	1.1	2.9	1.4	7.2	7.0	4.6	3.1	2.5	15.2	14.9	4.1	3.0	3.7	5.1	4.1	3.2	2.8	4.0	4.7	5.0	4.7	4.0	4.5
Rv1040c	PE8	828	-	3.5	2.9	2.7	1.2	2.4	3.3	2.6	4.2	5.9	4.8	6.8	6.2	1.1	3.7	3.4	5.3	8.2	6.7	5.5	2.9	12.0	16.0	5.9	3.6	3.5	5.2	6.5	6.1	5.4	5.1	4.9	4.4	4.0	9.3	4.9
Rv1041c	-	864	-	71.7	73.3	78.3	83.6	69.5	74.1	88.3	104.6	84.9	82.2	78.4	78.3	73.0	86.2	74.3	155.7	178.1	156.8	75.4	78.2	137.6	154.3	66.9	66.1	44.8	52.3	51.8	50.1	50.0	55.5	49.4	53.9	73.4	64.4	75.2
Rv1042c	-	408	-	99.9	106.5	91.0	100.3	83.5	84.6	117.1	126.5	108.4	93.3	80.7	94.3	74.3	84.1	83.6	159.7	200.9	173.7	96.0	93.9	148.0	153.5	75.4	67.6	57.9	65.3	59.7	56.4	68.2	62.9	59.8	63.9	84.4	75.5	91.4
Rv1043c	-	1026	-	58.4	43.5	52.3	104.2	94.8	100.3	73.1	70.7	80.1	165.4	159.8	169.5	159.3	160.0	161.7	130.4	130.4	93.4	162.3	153.1	62.7	71.6	175.1	176.5	139.0	106.7	95.0	95.8	119.1	88.6	108.2	80.1	172.1	141.6	175.9
Rv1044	-	624	+	22.4	50.7	32.0	13.5	20.9	16.2	10.3	6.8	10.3	20.5	20.3	17.5	51.1	44.7	74.0	79.8	72.0	71.5	50.8	48.5	19.5	18.9	41.5	40.7	36.6	34.0	33.4	25.9	33.7	20.2	23.8	25.4	34.7	27.6	33.9
Rv1045	-	882	+	20.6	28.2	26.1	14.4	17.2	15.5	10.7	9.0	8.9	15.8	22.6	18.9	49.9	42.0	49.1	49.2	44.6	48.9	47.4	53.7	12.2	15.0	24.2	22.0	20.3	13.5	16.1	14.8	17.0	16.1	19.4	18.7	22.7	33.3	24.0
Rv1046c	-	525	-	342.4	558.9	663.1	601.4	611.0	555.4	611.2	592.1	477.6	633.2	671.8	548.6	495.0	635.2	520.0	477.3	481.1	475.2	567.0	579.3	1191.9	1353.1	1743.6	1604.8	1012.8	1101.1	904.0	743.5	881.7	1126.6	761.2	851.8	1593.6	1476.6	1716.7
Rv1047	-	1248	+	80.5	80.0	92.8	74.6	88.1	103.5	39.7	31.0	51.8	76.7	79.0	81.6	236.9	220.9	244.1	35.1	41.6	36.9	60.2	61.5	25.3	18.5	36.7	37.8	28.3	20.6	20.5	22.6	24.0	20.9	38.1	22.8	50.6	42.3	44.0
Rv1048c	-	1116	-	55.9	187.1	120.5	14.4	8.9	8.0	15.6	16.0	11.3	14.8	13.3	11.8	11.9	9.0	10.0	26.3	24.3	29.2	21.0	21.1	32.2	33.4	13.6	13.5	12.2	14.1	12.8	14.6	9.7	30.9	20.4	24.8	12.4	10.3	14.0
Rv1049	-	447	+	25.9	49.9	31.2	21.6	20.4	22.0	12.3	10.2	11.3	24.0	24.5	25.9	31.3	27.2	14.8	36.9	35.7	43.2	30.5	26.3	10.6	3.5	16.9	22.0	22.2	28.1	28.5	26.2	19.9	33.5	24.1	31.0	27.2	32.4	19.8
Rv1050	-	906	+	7.6	4.1	7.1	6.4	6.7	7.2	2.0	5.2	3.7	11.7	8.7	10.5	5.6	4.8	5.9	7.9	5.9	7.5	10.4	15.3	4.9	2.3	7.8	10.0	7.5	13.4	15.6	18.5	4.0	7.2	9.9	8.7	8.7	10.1	7.6
Rv1051c	-	756	-	1.7	1.2	2.2	0.9	1.0	0.3	1.4	0.8	0.0	1.7	2.0	1.2	0.3	1.0	0.6	0.2	0.3	0.0	1.8	1.9	0.6	1.7	1.3	1.0	0.7	1.6	0.4	0.9	1.2	1.7	0.8	2.0	0.5	0.9	2.1
Rv1052	-	390	+	63.5	100.6	66.8	59.6	60.7	43.0	38.0	34.4	36.0	66.8	70.1	65.2	54.9	49.5	43.8	37.3	39.5	35.5	86.4	71.8	57.3	51.1	77.0	78.9	72.8	54.6	56.5	48.6	75.5	46.2	56.8	40.5	87.6	98.6	98.1
Rv1053c	-	276	-	0.0	0.0	0.5	0.8	0.0	0.0	1.2	0.0	2.4	0.8	1.9	0.0	0.0	0.0	0.0	0.4	0.0	2.8	0.1	0.4	0.7	0.0	0.4	0.0	1.0	0.4	0.8	0.0	0.0	0.6	0.0	0.4	1.9	0.0	0.0
Rv1054	-	315	+	102.1	107.1	96.4	145.0	125.5	131.5	100.5	114.2	93.5	163.3	156.4	160.6	70.6	87.2	57.6	47.2	44.7	33.0	146.2	126.7	77.2	48.1	141.0	141.3	158.3	106.4	125.5	148.9	143.2	96.4	130.3	120.5	164.5	134.5	140.6
Rv1055	-	135	+	52.6	77.5	71.7	85.6	90.1	96.4	53.0	63.2	36.8	122.2	117.1	94.6	38.5	48.3	21.4	29.7	28.9	20.3	98.9	97.2	37.0	24.0	100.0	89.7	93.6	81.6	77.2	85.4	90.9	90.7	93.0	90.0	113.1	134.4	92.3
Rv1056	-	765	+	47.3	49.3	56.7	71.3	51.4	66.8	52.3	50.6	39.0	64.4	62.3	69.3	59.2	49.9	42.8	44.2	41.4	35.8	57.6	58.6	49.9	39.2	77.3	91.3	78.2	76.6	91.2	87.3	85.3	70.9	82.0	68.2	75.9	80.1	89.5
Rv1057	-	1182	+	34.0	40.5	50.1	7.9	80.0	99.4	5.3	6.1	10.4	12.1	15.1	15.7	104.5	115.0	112.2	180.0	172.5	150.2	29.8	31.7	53.9	60.7	68.6	76.1	59.6	36.4	41.4	42.3	31.6	37.3	52.5	46.5	80.6	93.9	91.7
Rv1058	fadD14	1632	+	24.5	25.1	19.5	17.4	16.6	17.2	13.9	18.1	17.7	26.5	25.5	26.6	32.2	29.1	26.7	48.7	44.9	45.8	36.5	36.7	21.6	16.9	39.8	38.8	44.6	36.6	33.3	37.9	44.1	45.3	46.8	39.8	37.6	47.7	35.7
Rv1059	-	1065	+	56.3	88.9	54.8	56.7	51.5	56.2	28.6	37.0	35.4	60.8	63.6	72.5	37.1	32.6	23.1	38.6	36.9	33.3	77.8	91.8	41.9	39.3	71.1	58.5	63.7	61.0	66.3	72.4	72.2	59.6	76.2	60.0	64.8	65.9	57.1
Rv1060	-	474	+	93.0	82.3	62.9	159.9	99.4	121.2	50.3	60.1	59.1	159.8	185.5	177.5	54.5	67.1	42.9	73.2	54.3	68.0	176.1	176.7	55.4	55.0	130.3	128.3	155.1	78.0	96.0	118.9	153.5	95.5	147.8	103.4	131.4	151.6	140.2
Rv1061	-	864	+	46.1	52.5	49.1	68.1	60.2	64.2	33.7	36.5	41.4	81.9	97.0	79.1	72.3	50.3	46.1	49.9	56.3	60.0	73.6	67.2	39.6	22.6	72.1	74.5	79.6	58.8	50.3	53.2	73.1	48.9	57.1	46.9	61.5	57.2	65.0
Rv1062	-	858	+	32.8	28.7	27.9	42.0	54.2	49.4	27.0	23.5	25.3	52.9	61.0	70.0	32.5	30.6	35.3	28.3	40.0	29.5	36.2	38.5	15.7	12.2	34.0	40.6	34.9	23.8	31.1	25.9	49.2	23.9	37.5	21.2	33.0	30.5	32.4
Rv1063c	-	1083	-	77.7	85.6	74.6	62.2	82.0	85.1	60.1	64.8	60.0	66.3	72.0	73.1	54.6	63.1	87.2	126.2	146.9	133.6	85.6	108.4	88.4	63.6	89.7	96.7	98.7	122.9	127.1	110.4	96.2	79.2	69.7	90.6	110.3	122.8	103.0
Rv1064c	lpqV	420	-	65.0	51.0	47.8	49.3	38.9	52.6	76.8	58.3	68.7	40.9	49.5	59.9	56.1	68.3	55.1	63.7	61.2	67.0	40.3	37.7	64.7	52.5	22.7	20.8	27.4	38.8	39.4	44.3	31.4	54.6	35.3	40.2	40.8	34.0	35.7
Rv1065	-	567	+	588.7	412.8	480.8	296.6	313.3	308.2	227.9	209.1	242.1	258.6	258.1	281.9	835.6	801.4	721.7	1156.0	1434.5	1632.2	179.4	213.8	994.6	832.3	176.5	185.1	170.3	153.6	133.5	143.8	240.4	212.5	248.6	204.6	139.2	159.0	156.4
Rv1066	-	396	+	167.4	67.6	106.8	98.5	93.0	113.9	69.8	58.3	82.3	105.6	104.9	150.6	300.6	317.2	343.8	399.3	464.5	587.9	50.3	48.6	203.8	164.9	40.8	50.4	54.2	35.1	44.2	52.0	85.5	44.5	72.9	60.2	60.2	81.2	49.1
Rv1067c	PE_PGRS19	2004	-	3.1	4.6	4.7	4.6	4.1	5.1	6.8	5.0	5.2	10.8	9.7	14.8	7.9	7.6	8.7	8.3	9.9	10.3	4.7	4.6	3.3	3.9	3.6	5.2	6.3	3.5	5.1	5.1	13.8	5.0	6.5	4.8	9.0	4.5	5.3
Rv1068c	PE_PGRS20	1392	-	2.6	2.5	1.8	4.1	4.1	4.6	3.3	4.0	1.7	6.1	7.2	9.7	5.0	4.6	6.1	4.7	8.6	5.1	5.9	3.8	1.9	2.7	3.0	6.6	3.7	2.9	3.5	3.7	7.5	4.0	3.4	5.1	7.2	5.9	5.7
Rv1069c	-	1764	-	74.6	44.8	47.5	86.4	79.2	87.9	45.8	59.2	55.4	94.1	99.1	99.4	85.6	82.9	73.9	95.2	95.0	115.5	141.8	133.2	80.4	74.9	124.9	124.2	129.2	118.0	121.9	101.8	105.8	123.7	107.9	138.7	120.8	115.4	123.7
Rv1070c	echA8	774	-	125.7	98.0	97.7	139.8	130.3	126.1	74.6	104.3	82.3	167.2	189.9	200.6	152.8	119.9	110.0	126.7	140.3	175.5	230.5	234.3	123.8	99.3	197.5	175.2	214.3	208.7	196.1	198.3	174.6	295.5	224.8	284.2	192.7	188.9	171.0
Rv1071c	echA9	1038	-	79.7	72.9	75.5	93.5	92.5	87.1	64.2	72.1	61.8	104.7	95.5	94.0	75.7	78.9	77.8	90.8	95.4	112.2	173.5	166.5	74.4	52.7	93.7	83.4	103.3	112.6	115.8	129.9	92.0	156.1	126.5	160.7	85.6	79.6	77.3
Rv1072	-	837	+	2719.9	3300.4	2828.1	2398.1	2274.5	2478.8	1203.0	1192.9	1702.9	1865.0	1731.3	2131.0	2421.1	2031.4	1968.6	3211.7	3116.3	3125.7	2221.0	2170.7	1190.4	1177.4	2088.3	1943.3	2149.9	2125.6	2096.5	2184.3	2007.0	1812.2	2403.6	1987.9	2114.9	2097.5	2157.5
Rv1073	-	852	+	552.2	559.4	470.4	594.5	568.9	585.6	326.9	355.3	405.3	416.4	403.2	417.3	669.0	743.4	457.0	631.7	580.2	651.6	363.7	370.3	383.6	374.6	400.1	411.2	354.7	451.7	470.7	479.1	339.4	548.4	500.8	600.1	393.6	382.4	424.2
Rv1074c	fadA3	1218	-	297.3	250.8	248.4	288.9	279.3	258.8	383.5	385.7	337.8	306.1	291.8	293.5	314.2	340.4	391.6	387.2	355.5	421.7	374.4	387.8	353.5	350.9	297.5	285.9	334.6	368.6	362.1	390.9	339.3	370.2	246.4	307.9	309.8	332.6	317.2
Rv1075c	-	945	-	9.9	8.3	7.3	14.1	17.5	12.6	7.2	8.5	6.5	33.0	37.7	32.8	16.2	9.1	10.2	10.5	20.2	20.8	50.3	44.2	25.3	18.4	45.7	50.5	57.0	40.2	49.3	43.0	71.9	54.0	37.3	49.8	53.8	63.2	60.4
Rv1076	lipU	894	+	33.1	34.5	21.9	33.5	43.9	29.7	12.0	13.6	14.9	56.9	60.6	55.3	18.1	20.9	19.8	13.2	15.9	15.7	123.1	110.0	22.2	19.6	133.5	138.6	163.4	188.6	199.1	189.3	187.6	166.0	189.6	177.4	144.5	139.3	135.8
Rv1077	cbs	1395	+	122.4	120.1	110.9	124.2	157.3	148.0	78.0	80.3	87.0	162.2	144.9	142.3	103.7	98.9	115.2	107.5	111.9	115.7	187.9	194.5	55.5	44.9	163.7	167.4	194.9	178.1	193.5	193.9	199.1	146.8	195.0	160.9	207.5	239.6	205.6
Rv1078	pra	723	+	565.9	613.2	644.2	928.2	837.9	751.2	479.1	676.2	570.2	951.9	924.2	1044.9	611.8	482.3	233.9	299.5	305.3	408.6	1011.5	1076.9	536.4	426.6	615.0	684.2	810.9	456.5	507.0	489.5	492.8	477.8	591.9	431.8	911.8	921.0	774.8
Rv1079	metB	1167	+	293.7	258.7	243.6	464.3	421.6	414.2	233.6	349.8	298.0	406.9	378.6	448.3	257.3	226.3	118.3	127.5	141.4	165.1	439.9	473.8	270.8	190.8	294.6	321.8	345.1	206.6	219.4	225.4	240.8	216.0	250.6	205.4	391.6	415.6	359.3
Rv1080c	greA	495	-	889.7	898.2	1120.6	1212.6	1047.5	1103.5	1013.8	908.3	888.7	1465.4	1480.6	1460.5	920.9	922.8	947.9	614.2	608.8	570.9	1545.0	1377.1	1009.2	1100.9	1630.7	1401.3	1313.8	2089.1	1857.3	2025.4	615.3	3034.3	2593.7	2717.5	1112.9	1079.9	1172.0
Rv1081c	-	435	-	49.8	38.8	61.7	60.6	40.4	38.6	63.6	62.6	40.8	81.0	64.0	68.7	86.2	71.0	41.4	63.6	54.0	72.3	41.1	54.7	102.0	111.4	45.9	47.7	55.7	56.5	49.2	53.5	37.1	73.7	40.9	55.8	60.2	65.0	60.7
Rv1082	mca	867	+	103.0	126.0	103.8	129.7	138.9	126.4	73.1	80.6	78.3	120.1	138.2	124.2	128.8	129.2	144.8	179.5	182.6	196.4	123.9	117.4	121.6	120.1	197.1	199.1	170.8	157.9	181.6	188.7	153.8	156.3	184.6	138.9	158.5	184.5	173.2
Rv1083	-	267	+	151.3	173.7	129.5	187.6	165.3	188.0	85.2	103.4	92.0	117.5	127.9	128.6	179.9	138.6	122.2	180.5	182.2	185.1	147.9	140.2	139.3	128.7	186.0	164.2	161.7	166.8	184.3	183.8	158.3	162.1	218.2	145.8	149.3	187.4	166.1
Rv1084	-	2022	+	52.3	49.0	40.7	59.7	60.4	76.6	35.4	33.0	32.0	58.2	61.8	57.2	54.5	54.4	56.2	83.3	87.2	95.5	40.0	41.9	36.6	36.6	56.3	59.6	58.8	54.0	68.5	68.4	74.5	48.2	55.7	51.5	66.8	83.7	57.4
Rv1085c	-	729	-	130.7	76.3	94.6	105.6	106.4	107.9	142.3	158.9	130.7	137.9	144.1	148.7	73.3	79.2	77.7	82.6	86.1	76.1	132.8	130.9	84.5	65.5	82.4	86.3	107.5	110.0	111.6	116.0	84.4	117.6	95.8	103.7	96.7	84.7	99.2
Rv1086	-	789	+	92.5	94.3	74.8	100.6	103.2	126.4	56.4	54.3	58.2	100.4	103.0	112.6	124.0	121.8	140.5	307.1	299.8	298.5	128.2	118.0	85.2	72.9	104.9	111.5	109.8	83.8	96.5	88.9	110.9	58.0	94.9	60.6	111.7	120.3	114.7
Rv1087	PE_PGRS21	2304	+	46.8	43.6	46.0	38.3	42.8	58.6	39.1	31.0	39.3	44.8	42.4	55.3	71.8	53.0	56.4	70.5	85.6	68.3	22.5	20.3	29.6	24.1	12.3	18.8	17.1	15.6	24.0	21.9	26.8	11.3	21.0	17.6	30.0	31.9	21.5
Rv1087A	-	321	+	1.5	0.0	3.5	6.6	5.1	5.8	1.9	3.3	3.2	6.2	10.0	5.1	6.5	11.0	6.0	8.8	5.2	5.7	1.4	1.3	2.5	16.8	2.4	0.8	0.4	1.7	1.0	0.8	1.7	0.1	1.5	0.7	2.3	2.2	1.3
Rv1088	PE9	435	+	2.1	5.0	6.3	3.9	3.6	1.4	2.1	2.5	3.7	6.7	6.5	1.9	11.6	5.8	4.2	7.9	4.2	9.5	3.0	3.5	3.8	1.2	3.4	4.9	3.1	4.8	3.6	2.9	1.5	5.4	3.8	2.2	2.7	7.5	1.8
Rv1089	PE10	363	+	2.0	6.2	6.8	4.0	5.7	2.8	2.1	4.6	4.1	8.2	7.6	2.7	7.2	8.0	4.8	9.5	5.4	7.6	4.0	4.0	3.4	2.2	3.6	7.2	3.3	5.6	4.0	2.8	2.2	8.6	4.1	3.6	4.3	8.7	3.2
Rv1089A	celA2a	105	+	6.7	0.0	10.3	22.0	10.9	11.6	6.4	14.8	3.8	10.4	15.6	4.4	14.9	3.6	7.0	15.2	21.6	19.0	9.7	17.0	15.5	12.5	9.7	5.3	6.0	4.1	5.9	4.9	10.1	6.1	1.2	1.4	12.6	2.7	6.7
Rv1090	celA2b	456	+	20.1	18.0	11.4	19.3	16.3	12.7	8.0	13.2	11.9	23.9	24.0	15.0	12.3	10.8	7.9	13.5	14.1	19.2	15.3	22.4	10.0	13.1	20.2	17.5	17.2	11.2	12.3	16.6	30.8	12.2	21.0	13.9	15.5	24.3	19.3
Rv1091	PE_PGRS22	2562	+	34.3	28.8	28.7	39.8	41.1	45.2	31.3	23.9	30.7	48.1	60.3	70.6	64.8	42.9	52.8	49.6	55.3	55.8	27.8	27.5	16.3	13.3	24.8	38.3	36.3	23.1	38.0	38.2	71.8	14.9	34.4	26.6	55.0	57.6	44.9
Rv1092c	coaA	939	-	89.7	89.0	104.6	98.8	109.8	105.8	88.0	99.3	83.0	113.8	112.8	85.9	52.9	77.1	120.8	86.1	79.0	76.3	175.7	195.8	84.8	89.2	201.2	185.6	167.6	226.9	198.1	170.8	120.0	171.3	152.4	165.2	133.6	104.8	135.1
Rv1093	glyA	1281	+	159.9	186.1	189.4	225.2	210.3	201.3	129.7	121.8	130.7	252.8	273.6	258.7	204.4	201.1	197.4	276.3	285.7	283.0	248.7	242.3	114.7	80.8	206.0	211.1	203.9	162.4	179.3	177.6	200.9	159.8	211.6	157.5	212.7	206.5	205.5
Rv1094	desA2	828	+	2244.3	2753.2	2681.9	3446.4	4054.8	4271.3	2338.4	1786.3	2172.2	3179.0	3217.9	2967.2	1993.4	1816.7	2106.1	2001.7	2119.8	2153.2	2048.0	1907.6	1453.0	1071.7	4033.8	3741.4	2944.6	2911.5	2755.5	2318.2	2425.4	1191.9	2535.2	1516.5	3219.6	3311.5	3412.8
Rv1095	phoH2	1302	+	376.1	379.8	401.1	669.0	768.8	780.6	445.3	336.9	355.0	836.6	819.5	891.9	660.0	601.4	721.8	705.5	701.2	642.2	412.7	412.8	192.7	186.8	593.5	603.8	608.1	588.2	662.9	566.1	826.2	329.7	489.5	409.1	640.8	680.0	627.3
Rv1096	-	876	+	130.6	203.7	183.2	284.3	202.7	214.3	170.9	191.9	160.2	313.4	316.2	244.1	222.3	246.3	140.4	180.0	164.1	155.8	303.8	325.1	225.6	176.0	155.8	166.0	154.0	104.9	121.2	116.7	133.2	111.1	113.3	90.1	186.7	169.3	186.5
Rv1097c	-	882	-	256.3	180.5	241.6	351.2	336.3	324.2	306.4	333.2	281.6	355.5	368.9	368.8	249.7	261.5	236.2	183.4	177.6	196.9	463.7	506.1	372.2	335.6	327.1	335.4	369.6	385.8	349.7	355.3	298.0	556.5	486.2	487.7	337.3	288.3	329.5
Rv1098c	fumC	1425	-	278.2	232.6	239.1	324.6	314.2	278.8	291.8	308.2	274.0	371.0	352.4	360.2	254.8	249.5	254.3	209.7	200.7	207.6	450.0	453.0	327.0	288.1	288.2	300.9	350.6	379.7	349.4	375.9	272.5	535.5	460.9	527.3	320.1	288.4	296.2
Rv1099c	glpX	987	-	172.3	131.6	166.4	169.7	168.6	164.9	199.0	198.9	153.3	219.7	236.7	231.2	129.7	140.3	164.7	129.7	110.6	129.9	241.6	247.4	122.3	110.1	176.1	187.2	204.7	221.8	213.8	223.1	178.5	309.9	270.0	319.6	174.3	144.1	147.7
Rv1100	-	702	+	128.7	121.5	128.3	154.2	151.4	148.3	92.4	97.7	88.3	107.1	137.0	104.7	113.9	115.8	155.6	158.1	165.6	171.5	129.4	125.8	69.1	48.9	147.2	177.2	164.3	129.0	161.5	170.7	138.1	118.1	156.3	138.1	141.5	151.7	162.6
